0	5
1	1.135
2	0.281
3	0.007
3.2	0
4	0.121
5	0.688
6	1.519
7	2.316
8	3.048
9	3.716
10	4.322
11	4.868
12	5.355
13	5.785
14	6.159
15	6.48
16	6.751
17	6.975
18	7.156
19	7.299
20	7.405
21	7.481
22	7.527
23	7.55
24	7.552
25	7.536
26	7.504
27	7.456
28	7.393
29	7.316
30	7.225
31	7.12
32	7.004
33	6.876
34	6.737
35	6.588
36	6.429
37	6.261
38	6.085
39	5.901
40	5.71
41	5.513
42	5.311
43	5.102
44	4.887
45	4.664
46	4.434
47	4.196
48	3.949
49	3.693
50	3.428
51	3.152
52	2.865
53	2.567
54	2.257
55	1.935
56	1.6
57	1.252
58	0.89
59	0.514
60.32	0
60.6	0.28
